

*************************** 1. row ***************************
query_name: Histogram for length(name)
bin     num     bin_pct running_total   running_pct     nz_running_total        nz_running_pct
0       23      0.0014  23      0.0014  0       0.0000
1       1050    0.0640  1073    0.0654  1050    0.0640
2       3936    0.2398  5009    0.3052  4986    0.3038
3       18742   1.1419  23751   1.4471  23728   1.4457
4       47325   2.8834  71076   4.3304  71053   4.3291
5       81673   4.9761  152749  9.3065  152726  9.3053
6       134547  8.1975  287296  17.5041 287273  17.5029
7       157331  9.5857  444627  27.0897 444604  27.0887
8       174384  10.6247 619011  37.7144 618988  37.7136
9       166932  10.1706 785943  47.8851 785920  47.8843
10      186438  11.3591 972381  59.2442 972358  59.2436
11      155890  9.4979  1128271 68.7421 1128248 68.7416
12      145224  8.8480  1273495 77.5901 1273472 77.5898
13      118739  7.2344  1392234 84.8245 1392211 84.8243
14      93176   5.6769  1485410 90.5014 1485387 90.5013
15      74555   4.5424  1559965 95.0438 1559942 95.0438
16      26127   1.5918  1586092 96.6357 1586069 96.6356
17      18000   1.0967  1604092 97.7324 1604069 97.7323
18      13005   0.7924  1617097 98.5247 1617074 98.5247
19      9724    0.5925  1626821 99.1172 1626798 99.1172
20      11371   0.6928  1638192 99.8100 1638169 99.8100
21      1139    0.0694  1639331 99.8794 1639308 99.8794
22      286     0.0174  1639617 99.8968 1639594 99.8968
23      158     0.0096  1639775 99.9064 1639752 99.9064
24      319     0.0194  1640094 99.9259 1640071 99.9259
25      126     0.0077  1640220 99.9335 1640197 99.9335
26      67      0.0041  1640287 99.9376 1640264 99.9376
27      195     0.0119  1640482 99.9495 1640459 99.9495
28      68      0.0041  1640550 99.9536 1640527 99.9536
29      68      0.0041  1640618 99.9578 1640595 99.9578
30      103     0.0063  1640721 99.9641 1640698 99.9641
31      54      0.0033  1640775 99.9673 1640752 99.9673
32      41      0.0025  1640816 99.9698 1640793 99.9698
33      100     0.0061  1640916 99.9759 1640893 99.9759
34      34      0.0021  1640950 99.9780 1640927 99.9780
35      33      0.0020  1640983 99.9800 1640960 99.9800
36      71      0.0043  1641054 99.9843 1641031 99.9843
37      31      0.0019  1641085 99.9862 1641062 99.9862
38      11      0.0007  1641096 99.9869 1641073 99.9869
39      52      0.0032  1641148 99.9901 1641125 99.9901
40      12      0.0007  1641160 99.9908 1641137 99.9908
41      14      0.0009  1641174 99.9917 1641151 99.9917
42      28      0.0017  1641202 99.9934 1641179 99.9934
43      6       0.0004  1641208 99.9937 1641185 99.9937
44      10      0.0006  1641218 99.9943 1641195 99.9943
45      19      0.0012  1641237 99.9955 1641214 99.9955
46      6       0.0004  1641243 99.9959 1641220 99.9959
47      2       0.0001  1641245 99.9960 1641222 99.9960
48      6       0.0004  1641251 99.9963 1641228 99.9963
49      5       0.0003  1641256 99.9967 1641233 99.9967
50      6       0.0004  1641262 99.9970 1641239 99.9970
51      8       0.0005  1641270 99.9975 1641247 99.9975
52      6       0.0004  1641276 99.9979 1641253 99.9979
53      1       0.0001  1641277 99.9979 1641254 99.9979
54      10      0.0006  1641287 99.9985 1641264 99.9985
55      2       0.0001  1641289 99.9987 1641266 99.9987
56      2       0.0001  1641291 99.9988 1641268 99.9988
57      6       0.0004  1641297 99.9991 1641274 99.9991
58      4       0.0002  1641301 99.9994 1641278 99.9994
60      10      0.0006  1641311 100.0000        1641288 100.0000


*************************** 1. row ***************************
query_name: Histogram for length(url)
bin     num     bin_pct running_total   running_pct     nz_running_total        nz_running_pct
0       1088666 66.3291 1088666 66.3291 0       0.0000
1       3       0.0002  1088669 66.3292 3       0.0005
2       1       0.0001  1088670 66.3293 4       0.0007
3       1       0.0001  1088671 66.3294 5       0.0009
5       1       0.0001  1088672 66.3294 6       0.0011
6       3       0.0002  1088675 66.3296 9       0.0016
7       54      0.0033  1088729 66.3329 63      0.0114
8       28      0.0017  1088757 66.3346 91      0.0165
9       21      0.0013  1088778 66.3359 112     0.0203
10      40      0.0024  1088818 66.3383 152     0.0275
